symbols,themes,symbol_to_themes,ideology,self_perception,writing_style
"Emperor, Musical Hall, existing laws of the Union","Authority, Confidence, Stability, Integrity","Emperor->Authority, Musical Hall->Confidence, existing laws of the Union->Stability, Integrity",,"Authority figure, Reformer, Leader","Formal, Serious, Respectful"
"Czar Norton, Congress, Universal suffrage, Fraud and corruption, Protection of person and property, Expense of Government, Musical Hall","Abuse of power, Corruption, Injustice, Public voice, Political influence, Citizens' rights","Czar Norton->Abuse of power, Congress->Political influence, Universal suffrage->Public voice, Fraud and corruption->Corruption, Protection of person and property->Citizens' rights, Expense of Government->Injustice, Musical Hall->Public voice","Anti-corruption, Pro-democracy, Rule of law, Civic responsibility","A powerful, just, and authoritative figure aiming to rectify societal wrongs","Authoritative, Proclamatory, Direct, Bold"
"Emperor of the United States of America, Gen. Scott, San Juan Island, Washington city","misunderstanding, delusion of grandeur, self-importance","Emperor of the United States of America->delusion of grandeur, Gen. Scott->misunderstanding, San Juan Island->self-importance, Washington city->self-importance",,"The author perceives themselves as someone of high importance, possibly with a touch of irony","ironic, informal"
"Emperor Norton I, Supreme Court, Empire","Power, Authority, Inconsistency, Justice","Emperor Norton I->Power, Supreme Court->Inconsistency, Empire->Authority",,"The author perceives themselves as a sovereign and authoritative figure, seeking to correct wrongs and inconsistencies.","Formal, authoritative, assertive"
"Emperor Norton I, Supreme Court of the State, House of Representatives, Imperial Majesty, citizens of California, United States of America","Power, Authority, Governance","Emperor Norton I->Power, Supreme Court of the State->Authority, House of Representatives->Governance, Imperial Majesty->Power, citizens of California->Governance, United States of America->Authority","Autocracy, Self-declared authority",The author perceives himself as a figure of authority and power who has the ability to enact significant changes in the government structure.,"Authoritative, Commanding, Formal"
"Emperor, Nation, trash","power, censorship, authority, integrity","Emperor->power,authority, Nation->integrity, trash->censorship","authoritarian, righteousness, integrity","The author perceives himself as a righteous and authoritative figure, having the power to enforce his will and protect the integrity of the nation","formal, commanding, authoritative"
"Emperor, Harper’s Ferry Insurrection, slaves, provinces of Virginia and Maryland, Laws of the Empire, order and the rights of property, shedding of blood, stern resolve, proclamation, ordinances, regulations and statutes, great convention of the representatives of the nation, Musical Hall, February, Norton I, United States of America, grace of God, National Will","authority, rebellion, law and order, power, oppression, determination, nationalism","Emperor->authority, Harper’s Ferry Insurrection->rebellion, slaves->oppression, provinces of Virginia and Maryland->nationalism, Laws of the Empire->law and order, order and the rights of property->power, shedding of blood->determination, stern resolve->determination, proclamation->authority, ordinances, regulations and statutes->law and order, great convention of the representatives of the nation->nationalism, Musical Hall->nationalism, February->time, Norton I->authority, United States of America->nationalism, grace of God->authority, National Will->nationalism",,"The author perceives himself as a powerful authority figure, with the divine right and national will supporting his rule and decisions. He is determined and resolute in his aim to maintain order and uphold the laws of the empire.","formal, assertive, authoritative, resolute"
"Emperor Norton I, Musical Hall San Francisco, Gov. Wise of Virginia, Gen. Brown, Charlestown, Va., Insane Asylum, State of Virginia, Henry A. Wise, John C. Breckenridge, Kentucky, province of Virginia, Emperor of the United States of North America","authority, justice, mental health, power, rebellion","Emperor Norton I->authority, Musical Hall San Francisco->power, Gov. Wise of Virginia->authority, Gen. Brown->rebellion, Charlestown, Va.->justice, Insane Asylum->mental health, State of Virginia->power, Henry A. Wise->authority, John C. Breckenridge->authority, Kentucky->power, province of Virginia->power, Emperor of the United States of North America->authority","egalitarian, justice-oriented, democratic","The author perceives himself as a figure of authority and justice, making decisions on behalf of the people and the state.","formal, authoritative, decisive"
"Card, Bulletin, Simon-ten (th), Good and Sweet, foreign Element, Algoa Bay, Cape of Good Hope, Norton I, pipe","public scrutiny, personal outrage, authorship, responsibility, defiance","Card->public scrutiny, Bulletin->public scrutiny, Simon-ten (th)->personal outrage, Good and Sweet->authorship, foreign Element->defiance, Algoa Bay->personal identity, Cape of Good Hope->personal identity, Norton I->authorship, pipe->defiance",,"Joshua Norton perceives himself as an authoritative and defiant figure, who takes full responsibility for his works and stands firm against his critics.","defiant, authoritative, assertive, direct"
"National Congress, Imperial edict, decree, Major General Scott, Armies, Halls of Congress, Emperor, Headquarters, San Francisco","Power, Authority, Rebellion, Conformity, Law and Order","National Congress->Rebellion, Imperial edict->Authority, decree->Power, Major General Scott->Law and Order, Armies->Power, Halls of Congress->Rebellion, Emperor->Authority, Headquarters->Power, San Francisco->Conformity",,The author perceives himself as an authoritative and powerful figure who is in control and demands obedience,"Formal, Authoritative, Commanding"
